locus_tag	ftype	length_bp	gene	EC_number	COG	product
LNBKKNJO_02354	CDS	864	mlaE_2		COG0767	Intermembrane phospholipid transport system permease protein MlaE
LNBKKNJO_02355	CDS	492				hypothetical protein
LNBKKNJO_02356	CDS	366				hypothetical protein
LNBKKNJO_02357	CDS	600				hypothetical protein
LNBKKNJO_02358	CDS	702				hypothetical protein
LNBKKNJO_02359	tRNA	76				tRNA-His(gtg)
LNBKKNJO_02360	CDS	669	orn	3.1.-.-	COG1949	Oligoribonuclease
LNBKKNJO_02361	CDS	111				hypothetical protein
LNBKKNJO_02362	CDS	1356				hypothetical protein
LNBKKNJO_02363	CDS	807				hypothetical protein
LNBKKNJO_02364	CDS	1329				hypothetical protein
LNBKKNJO_02365	CDS	792				hypothetical protein
LNBKKNJO_02366	CDS	636	slmA			Nucleoid occlusion factor SlmA
LNBKKNJO_02367	CDS	684				hypothetical protein
LNBKKNJO_02368	CDS	1002	ispH1	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1
LNBKKNJO_02369	CDS	1842	dxs_4	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
LNBKKNJO_02370	CDS	1164	ispG_2	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
LNBKKNJO_02371	CDS	2544				hypothetical protein
LNBKKNJO_02372	CDS	1161	cypX	1.14.15.13	COG2124	Pulcherriminic acid synthase
LNBKKNJO_02373	CDS	807	linC	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
LNBKKNJO_02374	CDS	2274	ctpB_1	3.6.3.-	COG2217	Cation-transporting P-type ATPase B
LNBKKNJO_02375	CDS	219				hypothetical protein
LNBKKNJO_02376	CDS	1977			COG3336	putative protein
LNBKKNJO_02377	CDS	726				putative protein
LNBKKNJO_02378	CDS	555	sigC_1		COG1595	ECF RNA polymerase sigma factor SigC
LNBKKNJO_02379	CDS	2292	ctpA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
LNBKKNJO_02380	CDS	714			COG5660	putative protein
LNBKKNJO_02381	CDS	810				hypothetical protein
LNBKKNJO_02382	CDS	210				hypothetical protein
LNBKKNJO_02383	CDS	900	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
LNBKKNJO_02384	CDS	1581				hypothetical protein
LNBKKNJO_02385	CDS	570				putative HTH-type transcriptional regulator
LNBKKNJO_02386	CDS	1989				hypothetical protein
LNBKKNJO_02387	CDS	327				hypothetical protein
LNBKKNJO_02388	CDS	1422	accD6	6.4.1.3	COG4799	putative propionyl-CoA carboxylase beta chain 6
LNBKKNJO_02389	CDS	1254	kasB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
LNBKKNJO_02390	CDS	1251	kasA	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
LNBKKNJO_02391	CDS	348	acpM		COG0236	Meromycolate extension acyl carrier protein
LNBKKNJO_02392	CDS	909	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
LNBKKNJO_02393	CDS	1311			COG2508	putative protein
LNBKKNJO_02394	CDS	2790	aceE_1	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
LNBKKNJO_02395	CDS	498				putative protein
LNBKKNJO_02396	CDS	423				putative protein
LNBKKNJO_02397	CDS	462	ahpE	1.11.1.15	COG1225	Alkyl hydroperoxide reductase E
LNBKKNJO_02398	tRNA	75				tRNA-Val(tac)
LNBKKNJO_02399	CDS	468				hypothetical protein
LNBKKNJO_02400	CDS	1068		2.3.1.20		Putative diacyglycerol O-acyltransferase
LNBKKNJO_02401	CDS	1473		2.3.1.20		Putative diacyglycerol O-acyltransferase
LNBKKNJO_02402	CDS	411				hypothetical protein
LNBKKNJO_02403	CDS	483	khtT		COG0490	K(+)/H(+) antiporter subunit KhtT
LNBKKNJO_02404	CDS	1143	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
LNBKKNJO_02405	CDS	348				hypothetical protein
LNBKKNJO_02406	CDS	1419				hypothetical protein
LNBKKNJO_02407	CDS	873	ppk2	2.7.4.-	COG2326	Polyphosphate:GDP phosphotransferase
LNBKKNJO_02408	CDS	501				hypothetical protein
LNBKKNJO_02409	CDS	1155		1.-.-.-	COG1018	NADPH oxidoreductase
LNBKKNJO_02410	CDS	1287	desA3_2	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
LNBKKNJO_02411	CDS	1287	desA3_3	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
LNBKKNJO_02412	CDS	1182	fadA_2	2.3.1.-	COG0183	Putative acyltransferase
LNBKKNJO_02413	CDS	474				hypothetical protein
LNBKKNJO_02414	CDS	993	rsgA	3.6.1.-		Small ribosomal subunit biogenesis GTPase RsgA
LNBKKNJO_02415	CDS	1296	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
LNBKKNJO_02416	CDS	783	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
LNBKKNJO_02417	CDS	753	hbd	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
LNBKKNJO_02418	CDS	1305				hypothetical protein
LNBKKNJO_02419	CDS	177				hypothetical protein
LNBKKNJO_02420	CDS	591				hypothetical protein
LNBKKNJO_02421	CDS	2730				hypothetical protein
LNBKKNJO_02422	CDS	1227			COG0739	putative protein
LNBKKNJO_02423	CDS	186				hypothetical protein
LNBKKNJO_02424	CDS	1134				hypothetical protein
LNBKKNJO_02425	CDS	486			COG0782	putative protein
LNBKKNJO_02426	CDS	441			COG2246	Arabinogalactan biosynthesis recruiting protein
LNBKKNJO_02427	CDS	1392	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
LNBKKNJO_02428	CDS	765	dprE2	1.1.1.333	COG1028	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase
LNBKKNJO_02429	CDS	1965	aftA	2.4.2.46		Galactan 5-O-arabinofuranosyltransferase
LNBKKNJO_02430	CDS	3261	embC	2.4.2.-		putative arabinosyltransferase C
LNBKKNJO_02431	CDS	3342	embA	2.4.2.-		putative arabinosyltransferase A
LNBKKNJO_02432	CDS	3228	embB	2.4.2.-		putative arabinosyltransferase B
LNBKKNJO_02433	CDS	1146	rbn_1	3.1.26.11		Ribonuclease BN
LNBKKNJO_02434	CDS	147				hypothetical protein
LNBKKNJO_02435	CDS	339				hypothetical protein
LNBKKNJO_02436	CDS	501				hypothetical protein
LNBKKNJO_02437	CDS	366	tipA_2			HTH-type transcriptional activator TipA
LNBKKNJO_02438	CDS	429	cwsA			Cell wall synthesis protein CwsA
LNBKKNJO_02439	CDS	549	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
LNBKKNJO_02440	CDS	426				hypothetical protein
LNBKKNJO_02441	CDS	282	crgA			Cell division protein CrgA
LNBKKNJO_02442	CDS	744				hypothetical protein
LNBKKNJO_02443	CDS	687	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
LNBKKNJO_02444	CDS	1881	pknB	2.7.11.1	COG0515	Serine/threonine-protein kinase PknB
LNBKKNJO_02445	CDS	1359	pknA	2.7.11.1	COG0515	Serine/threonine-protein kinase PknA
LNBKKNJO_02446	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
LNBKKNJO_02447	CDS	1410	rodA		COG0772	putative FtsW-like protein
LNBKKNJO_02448	CDS	1560	pstP	3.1.3.16	COG0631	PP2C-family Ser/Thr phosphatase
LNBKKNJO_02449	CDS	468	fhaB		COG1716	FHA domain-containing protein FhaB
LNBKKNJO_02450	CDS	1587	fhaA		COG1716	FHA domain-containing protein FhaA
LNBKKNJO_02451	tRNA	84				tRNA-Leu(cag)
LNBKKNJO_02452	CDS	648				hypothetical protein
LNBKKNJO_02453	CDS	801				hypothetical protein
LNBKKNJO_02454	CDS	753				hypothetical protein
LNBKKNJO_02455	CDS	1005	osmX		COG1732	Osmoprotectant-binding protein OsmX
LNBKKNJO_02456	CDS	810				hypothetical protein
LNBKKNJO_02457	CDS	1167	opuCA		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
LNBKKNJO_02458	CDS	294	opuCB		COG1174	Glycine betaine/carnitine/choline transport system permease protein OpuCB
LNBKKNJO_02459	CDS	627				hypothetical protein
LNBKKNJO_02460	CDS	1047				hypothetical protein
LNBKKNJO_02461	CDS	819	gltC_1			HTH-type transcriptional regulator GltC
LNBKKNJO_02462	CDS	582				hypothetical protein
LNBKKNJO_02463	CDS	504				hypothetical protein
LNBKKNJO_02464	CDS	219				hypothetical protein
LNBKKNJO_02465	CDS	1068				hypothetical protein
LNBKKNJO_02466	CDS	240	purS	6.3.5.3	COG1828	Phosphoribosylformylglycinamidine synthase subunit PurS
LNBKKNJO_02467	CDS	675	purQ	6.3.5.3	COG0047	Phosphoribosylformylglycinamidine synthase subunit PurQ
LNBKKNJO_02468	CDS	465				hypothetical protein
LNBKKNJO_02469	CDS	465				hypothetical protein
LNBKKNJO_02470	CDS	372	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
LNBKKNJO_02471	CDS	546	merA	1.16.1.1		Mercuric reductase
LNBKKNJO_02472	CDS	318	sthA_1	1.6.1.1		Soluble pyridine nucleotide transhydrogenase
LNBKKNJO_02473	CDS	213				hypothetical protein
LNBKKNJO_02474	CDS	807	lin	3.4.-.-		Linocin-M18
LNBKKNJO_02475	CDS	1113				hypothetical protein
LNBKKNJO_02476	CDS	1203	apeB	3.4.11.-	COG1362	putative M18 family aminopeptidase 2
LNBKKNJO_02477	CDS	348				hypothetical protein
LNBKKNJO_02478	CDS	651		2.8.3.-	COG1670	Putative succinyl-CoA transferase
LNBKKNJO_02479	CDS	2298	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
LNBKKNJO_02480	CDS	567				hypothetical protein
LNBKKNJO_02481	CDS	957	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
LNBKKNJO_02482	CDS	1599	cpsY	2.7.-.-		Exopolysaccharide phosphotransferase CpsY
LNBKKNJO_02483	CDS	1272				hypothetical protein
LNBKKNJO_02484	CDS	1506				hypothetical protein
LNBKKNJO_02485	CDS	792	lgrE	1.1.-.-		Linear gramicidin dehydrogenase LgrE
LNBKKNJO_02486	CDS	1656				hypothetical protein
LNBKKNJO_02487	CDS	927	pknK_1	2.7.11.1	COG2909	Serine/threonine-protein kinase PknK
LNBKKNJO_02488	CDS	252				hypothetical protein
LNBKKNJO_02489	CDS	1203				hypothetical protein
LNBKKNJO_02490	CDS	1251	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
LNBKKNJO_02491	CDS	576	albA	1.3.3.13		Albonoursin synthase
LNBKKNJO_02492	CDS	357				hypothetical protein
LNBKKNJO_02493	CDS	969		1.3.1.103		2-haloacrylate reductase
LNBKKNJO_02494	CDS	861		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
LNBKKNJO_02495	CDS	1482	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
LNBKKNJO_02496	CDS	936		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
LNBKKNJO_02497	CDS	942		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
LNBKKNJO_02498	CDS	933		2.1.1.-	COG3315	Putative S-adenosyl-L-methionine-dependent methyltransferase
LNBKKNJO_02499	CDS	636				hypothetical protein
LNBKKNJO_02500	CDS	987				hypothetical protein
LNBKKNJO_02501	CDS	1443	clcB			Voltage-gated ClC-type chloride channel ClcB
LNBKKNJO_02502	CDS	672				hypothetical protein
LNBKKNJO_02503	CDS	1554	ald_2	1.2.99.10		4,4'-diapolycopene aldehyde oxidase
LNBKKNJO_02504	CDS	792	cysQ_1	3.1.3.7	COG1218	3'-phosphoadenosine 5'-phosphate phosphatase
LNBKKNJO_02505	CDS	606				hypothetical protein
LNBKKNJO_02506	CDS	588				hypothetical protein
LNBKKNJO_02507	CDS	747	pspA_2	3.1.3.3	COG0406	Phosphoserine phosphatase 1
LNBKKNJO_02508	CDS	831	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
LNBKKNJO_02509	CDS	303				hypothetical protein
LNBKKNJO_02510	CDS	1071				hypothetical protein
LNBKKNJO_02511	CDS	249				hypothetical protein
LNBKKNJO_02512	CDS	1083	pyrD_1	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
LNBKKNJO_02513	CDS	432				putative protein
LNBKKNJO_02514	CDS	561				PPE family protein PPE34
LNBKKNJO_02515	CDS	2289	icl2	4.1.3.1		Isocitrate lyase 2
LNBKKNJO_02516	CDS	369				hypothetical protein
LNBKKNJO_02517	CDS	723				hypothetical protein
LNBKKNJO_02518	CDS	1059				hypothetical protein
LNBKKNJO_02519	CDS	327				hypothetical protein
LNBKKNJO_02520	CDS	429	yndB		COG3832	putative protein YndB
LNBKKNJO_02521	CDS	1005	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
LNBKKNJO_02522	CDS	327				hypothetical protein
LNBKKNJO_02523	CDS	1218				hypothetical protein
LNBKKNJO_02524	CDS	600	mftR_2			Putative mycofactocin biosynthesis transcriptional regulator MftR
LNBKKNJO_02525	CDS	1242				hypothetical protein
LNBKKNJO_02526	CDS	1185				hypothetical protein
LNBKKNJO_02527	CDS	1509	dop	3.4.-.-		Pup deamidase/depupylase
LNBKKNJO_02528	CDS	195	pup			Prokaryotic ubiquitin-like protein Pup
LNBKKNJO_02529	CDS	729	prcB	3.4.25.1	COG0638	Proteasome subunit beta
LNBKKNJO_02530	CDS	804	prcA	3.4.25.1	COG0638	Proteasome subunit alpha
LNBKKNJO_02531	CDS	1344	pafA	6.3.1.19		Pup--protein ligase
LNBKKNJO_02532	CDS	999	pafB		COG2378	Protein PafB
LNBKKNJO_02533	CDS	969	pafC		COG2378	Protein PafC
LNBKKNJO_02534	CDS	267	tatA			Sec-independent protein translocase protein TatA
LNBKKNJO_02535	CDS	858	tatC		COG0805	Sec-independent protein translocase protein TatC
LNBKKNJO_02536	CDS	2721	helY	3.6.4.-	COG4581	putative helicase HelY
LNBKKNJO_02537	CDS	765				putative protein
LNBKKNJO_02538	CDS	957		3.1.11.-	COG0258	5'-3' exonuclease
LNBKKNJO_02539	CDS	1128	pepE	3.4.13.-	COG0006	putative dipeptidase PepE
LNBKKNJO_02540	CDS	1380				hypothetical protein
LNBKKNJO_02541	CDS	852				hypothetical protein
LNBKKNJO_02542	CDS	2202				hypothetical protein
LNBKKNJO_02543	CDS	510	mmpL4_4		COG2409	Siderophore exporter MmpL4
LNBKKNJO_02544	CDS	1002	betA_1	1.1.99.1		Oxygen-dependent choline dehydrogenase
LNBKKNJO_02545	CDS	183				hypothetical protein
LNBKKNJO_02546	CDS	1008	nphR			Transcriptional activator NphR
LNBKKNJO_02547	CDS	744	COQ3_2	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
LNBKKNJO_02548	CDS	717				hypothetical protein
LNBKKNJO_02549	CDS	831	xynR		COG1414	HTH-type transcriptional regulator XynR
LNBKKNJO_02550	CDS	207				hypothetical protein
LNBKKNJO_02551	CDS	933	cntA	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
LNBKKNJO_02552	CDS	1143	soxA_1	1.5.3.1		Monomeric sarcosine oxidase
LNBKKNJO_02553	CDS	2445	dmg	1.5.3.10		Dimethylglycine oxidase
LNBKKNJO_02554	CDS	276				hypothetical protein
LNBKKNJO_02555	CDS	198				hypothetical protein
LNBKKNJO_02556	CDS	624				hypothetical protein
LNBKKNJO_02557	CDS	486				hypothetical protein
LNBKKNJO_02558	CDS	279				hypothetical protein
LNBKKNJO_02559	CDS	1602				hypothetical protein
LNBKKNJO_02560	CDS	438				hypothetical protein
LNBKKNJO_02561	CDS	786				hypothetical protein
LNBKKNJO_02562	CDS	1200				hypothetical protein
LNBKKNJO_02563	CDS	1539	dmdB	6.2.1.44	COG0318	3-methylmercaptopropionyl-CoA ligase
LNBKKNJO_02564	CDS	1059	ord_3	1.4.1.26		2,4-diaminopentanoate dehydrogenase
LNBKKNJO_02565	CDS	354	cysK2_1	2.5.1.-	COG0031	S-sulfocysteine synthase
LNBKKNJO_02566	CDS	651	cysK2_2	2.5.1.-	COG0031	S-sulfocysteine synthase
LNBKKNJO_02567	CDS	1278	mdtH_2			Multidrug resistance protein MdtH
LNBKKNJO_02568	CDS	618				hypothetical protein
LNBKKNJO_02569	CDS	804	bacC_4	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
LNBKKNJO_02570	CDS	666				hypothetical protein
LNBKKNJO_02571	CDS	195	subB			Ferredoxin-2
LNBKKNJO_02572	CDS	1245		1.14.-.-		Cytochrome P450-SU2
LNBKKNJO_02573	CDS	1176				hypothetical protein
LNBKKNJO_02574	CDS	1236		3.5.3.3		Creatinase
LNBKKNJO_02575	CDS	1119		3.5.3.3		Creatinase
LNBKKNJO_02576	CDS	1107	menB_4	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
LNBKKNJO_02577	CDS	1320	frc_3	2.8.3.16		Formyl-CoA:oxalate CoA-transferase
LNBKKNJO_02578	CDS	969	smtA	2.8.3.22	COG1804	Succinyl-CoA--L-malate CoA-transferase alpha subunit
LNBKKNJO_02579	CDS	447	fabG_3	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase
LNBKKNJO_02580	CDS	831	ptlF	1.1.1.340		1-deoxy-11-beta-hydroxypentalenate dehydrogenase
LNBKKNJO_02581	CDS	852		1.1.1.-		Putative short-chain type dehydrogenase/reductase/MSMEI_5872
LNBKKNJO_02582	CDS	1203		1.14.-.-	COG2124	Cytochrome P450 130
LNBKKNJO_02583	CDS	720				hypothetical protein
LNBKKNJO_02584	CDS	1230	ade	3.5.4.2		Adenine deaminase
LNBKKNJO_02585	CDS	336				hypothetical protein
LNBKKNJO_02586	CDS	1068			COG0330	putative protein
LNBKKNJO_02587	CDS	435				hypothetical protein
LNBKKNJO_02588	CDS	993				putative protein
LNBKKNJO_02589	CDS	1023	hemH	4.99.1.1	COG0276	Ferrochelatase
LNBKKNJO_02590	CDS	810	inhA_2	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH]
LNBKKNJO_02591	CDS	768	fabG1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG1
LNBKKNJO_02592	CDS	1008				hypothetical protein
LNBKKNJO_02593	CDS	975			COG1721	putative protein
LNBKKNJO_02594	CDS	1116				hypothetical protein
LNBKKNJO_02595	CDS	720	ripB	3.4.-.-	COG0791	Peptidoglycan endopeptidase RipB
LNBKKNJO_02596	CDS	1410	ripA	3.4.-.-	COG0791	Peptidoglycan endopeptidase RipA
LNBKKNJO_02597	CDS	552				hypothetical protein
LNBKKNJO_02598	CDS	2820	acn	4.2.1.3	COG1048	Aconitate hydratase A
LNBKKNJO_02599	CDS	564				HTH-type transcriptional repressor
LNBKKNJO_02600	CDS	192				hypothetical protein
LNBKKNJO_02601	CDS	1629	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
LNBKKNJO_02602	CDS	810		4.2.1.17	COG1024	putative enoyl-CoA hydratase echA12
LNBKKNJO_02603	CDS	339	trxC_1		COG0526	Putative thioredoxin 2
LNBKKNJO_02604	CDS	357	trxC_2		COG0526	Putative thioredoxin 2
LNBKKNJO_02605	CDS	792	ctpD_1	3.6.3.-	COG2217	putative cobalt/nickel-exporting P-type ATPase
LNBKKNJO_02606	CDS	606				hypothetical protein
LNBKKNJO_02607	CDS	1092			COG1228	putative protein
LNBKKNJO_02608	CDS	1581	ffh		COG0541	Signal recognition particle protein
LNBKKNJO_02609	CDS	1737				hypothetical protein
LNBKKNJO_02610	CDS	2502	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
LNBKKNJO_02611	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
LNBKKNJO_02612	CDS	1434	amt			Ammonia channel
LNBKKNJO_02613	CDS	1377	ftsY		COG0552	Signal recognition particle receptor FtsY
LNBKKNJO_02614	CDS	3603	smc		COG1196	Chromosome partition protein Smc
LNBKKNJO_02615	CDS	693	yccX	3.6.1.7		Acylphosphatase
LNBKKNJO_02616	CDS	879	fpg1	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase 1
LNBKKNJO_02617	CDS	726	rnc	3.1.26.3	COG0571	Ribonuclease 3
LNBKKNJO_02618	CDS	594			COG1399	putative protein
LNBKKNJO_02619	CDS	738			COG3599	putative protein
LNBKKNJO_02620	CDS	426				hypothetical protein
LNBKKNJO_02621	CDS	942				hypothetical protein
LNBKKNJO_02622	CDS	435		3.1.-.-		Ribonuclease VapC49
LNBKKNJO_02623	CDS	405				hypothetical protein
LNBKKNJO_02624	CDS	795			COG3599	Cell wall synthesis protein Wag31
LNBKKNJO_02625	CDS	288				hypothetical protein
LNBKKNJO_02626	CDS	672	sepF		COG1799	Cell division protein SepF
LNBKKNJO_02627	CDS	777			COG0325	Pyridoxal phosphate homeostasis protein
LNBKKNJO_02628	CDS	708		1.10.3.-	COG1496	Polyphenol oxidase
LNBKKNJO_02629	CDS	1161	ftsZ		COG0206	Cell division protein FtsZ
LNBKKNJO_02630	CDS	957	ftsQ		COG1589	Cell division protein FtsQ
LNBKKNJO_02631	CDS	1467	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
LNBKKNJO_02632	CDS	1200	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
LNBKKNJO_02633	CDS	1632	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
LNBKKNJO_02634	CDS	1467	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
LNBKKNJO_02635	CDS	1080	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
LNBKKNJO_02636	CDS	1578	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
LNBKKNJO_02637	CDS	1557	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
LNBKKNJO_02638	CDS	180				hypothetical protein
LNBKKNJO_02639	CDS	1170			COG0628	Putative transport protein
LNBKKNJO_02640	CDS	1218				hypothetical protein
LNBKKNJO_02641	CDS	510				hypothetical protein
LNBKKNJO_02642	CDS	3015			COG2409	Heme uptake protein MmpL11
LNBKKNJO_02643	CDS	540				hypothetical protein
LNBKKNJO_02644	CDS	690				hypothetical protein
LNBKKNJO_02645	CDS	648				hypothetical protein
LNBKKNJO_02646	CDS	492				hypothetical protein
LNBKKNJO_02647	CDS	1479	pepO	3.4.24.-	COG3590	Neutral endopeptidase
LNBKKNJO_02648	CDS	1167				hypothetical protein
LNBKKNJO_02649	CDS	1122	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
LNBKKNJO_02650	CDS	576			COG1309	putative HTH-type transcriptional regulator
LNBKKNJO_02651	CDS	1026				hypothetical protein
LNBKKNJO_02652	CDS	1308			COG2814	Chloramphenicol efflux pump
LNBKKNJO_02653	CDS	291	ricR		COG1937	Copper-sensing transcriptional repressor RicR
LNBKKNJO_02654	CDS	1695	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
LNBKKNJO_02655	CDS	375				hypothetical protein
LNBKKNJO_02656	CDS	768				hypothetical protein
LNBKKNJO_02657	CDS	789				hypothetical protein
LNBKKNJO_02658	CDS	468				hypothetical protein
LNBKKNJO_02659	CDS	1707				hypothetical protein
LNBKKNJO_02660	CDS	627	cobH	5.4.99.61	COG2082	Precorrin-8X methylmutase
LNBKKNJO_02661	CDS	1470	cobIJ		COG1010	Cobalamin biosynthesis protein CobIJ
LNBKKNJO_02662	CDS	672				putative protein
LNBKKNJO_02663	CDS	558				putative protein
LNBKKNJO_02664	CDS	1137	mmpL4_5		COG2409	Siderophore exporter MmpL4
LNBKKNJO_02665	CDS	198	blaC_1	3.5.2.6	COG2367	Beta-lactamase
LNBKKNJO_02666	CDS	120	blaC_2	3.5.2.6	COG2367	Beta-lactamase
LNBKKNJO_02667	CDS	468	blaC_3	3.5.2.6	COG2367	Beta-lactamase
LNBKKNJO_02668	CDS	555	sigC_2		COG1595	ECF RNA polymerase sigma factor SigC
LNBKKNJO_02669	CDS	729	cobK	1.3.1.54	COG2099	Precorrin-6A reductase
LNBKKNJO_02670	CDS	750	cobM	2.1.1.133	COG2875	Precorrin-4 C(11)-methyltransferase
LNBKKNJO_02671	CDS	1173	cobL	2.1.1.132	COG2241	Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]
LNBKKNJO_02672	CDS	726		1.-.-.-	COG1028	putative oxidoreductase
LNBKKNJO_02673	CDS	411		1.3.98.-		F420H(2)-dependent biliverdin reductase
LNBKKNJO_02674	CDS	258				hypothetical protein
LNBKKNJO_02675	CDS	1470				hypothetical protein
LNBKKNJO_02676	CDS	843				hypothetical protein
LNBKKNJO_02677	CDS	1677				hypothetical protein
LNBKKNJO_02678	CDS	3657		3.2.1.-	COG0637	putative glycosyl hydrolase
LNBKKNJO_02679	CDS	1257				hypothetical protein
LNBKKNJO_02680	CDS	990	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
LNBKKNJO_02681	CDS	855				hypothetical protein
LNBKKNJO_02682	CDS	957	ctaA	1.3.-.-		Heme A synthase
LNBKKNJO_02683	CDS	789				hypothetical protein
LNBKKNJO_02684	CDS	960	drrA_2	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
LNBKKNJO_02685	CDS	1818		2.4.1.-		Alpha-(1->6)-mannopyranosyltransferase
LNBKKNJO_02686	CDS	747				hypothetical protein
LNBKKNJO_02687	CDS	1446				hypothetical protein
LNBKKNJO_02688	CDS	1200				hypothetical protein
LNBKKNJO_02689	CDS	783	sufC		COG0396	Vegetative protein 296
LNBKKNJO_02690	CDS	1254	csd	2.8.1.7	COG0520	putative cysteine desulfurase
LNBKKNJO_02691	CDS	477	sufU	2.-.-.-	COG0822	Zinc-dependent sulfurtransferase SufU
LNBKKNJO_02692	CDS	348				hypothetical protein
LNBKKNJO_02693	CDS	363	rutB	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
LNBKKNJO_02694	CDS	450				hypothetical protein
LNBKKNJO_02695	CDS	369				hypothetical protein
LNBKKNJO_02696	CDS	1125				hypothetical protein
LNBKKNJO_02697	CDS	312				hypothetical protein
LNBKKNJO_02698	CDS	582				hypothetical protein
LNBKKNJO_02699	CDS	282				hypothetical protein
LNBKKNJO_02700	CDS	1068	malQ_1	2.4.1.25	COG1640	4-alpha-glucanotransferase
LNBKKNJO_02701	CDS	927	malQ_2	2.4.1.25	COG1640	4-alpha-glucanotransferase
LNBKKNJO_02702	CDS	1524	eccB5_2	3.6.-.-		ESX-5 secretion system ATPase EccB5
LNBKKNJO_02703	CDS	4167	eccC5		COG1674	ESX-5 secretion system protein EccC5
LNBKKNJO_02704	CDS	1176		1.14.-.-		Putative cytochrome P450 143
LNBKKNJO_02705	CDS	195				hypothetical protein
LNBKKNJO_02706	CDS	1257				hypothetical protein
LNBKKNJO_02707	CDS	300				PE family protein PE13
LNBKKNJO_02708	CDS	1227				PPE family protein PPE26
LNBKKNJO_02709	CDS	321				hypothetical protein
LNBKKNJO_02710	CDS	822				hypothetical protein
